title,subtitle,author,content,link,category,unique_id
S.M. Krishna to be cremated at his village in Mandya district with full state honours on December 11 | LIVE,"Several political and business leaders condole S.M. Krishna’s death, remember his contributions to the IT and BT industries in Bengaluru; Karnataka legislature session cancelled on December 11 in honour of the former CM",The Hindu Bureau,"S.M. Krishna to be cremated at his village in Mandya district with full state honours on December 11 | LIVE Several political and business leaders condole S.M. Krishna’s death, remember his contributions to the IT and BT industries in Bengaluru; Karnataka legislature session cancelled on December 11 in honour of the former CM ",https://www.thehindu.com/news/national/sm-krishna-former-karnataka-cm-maharashtra-governor-death-political-business-reactions-december-10-2024/article68967805.ece,national,432
Govt not allowing Lok Sabha to function as a strategy: Priyanka Gandhi,"Our protest is from 10.30 to 11 and then we go inside the House for work but work is not happening, says Congress MP Priyanka Gandhi Vadra",Miscellaneous,"Govt not allowing Lok Sabha to function as a strategy: Priyanka Gandhi Our protest is from 10.30 to 11 and then we go inside the House for work but work is not happening, says Congress MP Priyanka Gandhi Vadra Congress MP Priyanka Gandhi Vadra on Tuesday (December 10, 2024) alleged the government was not allowing Lok Sabha to function as a strategy because it is afraid of discussing the Adani issue. Also Read | Opposition protests Adani issue in Parliament premises with black bags",https://www.thehindu.com/news/national/govt-not-allowing-lok-sabha-to-function-as-a-strategy-priyanka-gandhi/article68968579.ece,national,433
NC MP Aga Syed Ruhullah seeks to move impeachment motion against Allahabad High Court judge,"Justice Yadav’s political biases, deep-rooted communalism render him incapable of serving as a non-partisan judge, Aga Syed Ruhullah said",Peerzada Ashiq,"NC MP Aga Syed Ruhullah seeks to move impeachment motion against Allahabad High Court judge Justice Yadav’s political biases, deep-rooted communalism render him incapable of serving as a non-partisan judge, Aga Syed Ruhullah said National Conference MP Aga Syed Ruhullah on Tuesday (December 10, 2024) said he would move an impeachment motion in Parliament against Justice Shekhar K. Yadav, sitting judge in the Allahabad High Court, over the latter’s recent remarks against Muslims. “I am moving impeachment motion in the Parliament in accordance with Art 124(4) of the constitution for the removal of this Justice namely Shekhar K Yadav, a sitting Judge in Hon’ble High Court of Judicature at Allahabad on the charges mentioned in the notice,”,” Mr. Ruhullah said.",https://www.thehindu.com/news/national/mpeachment-motion-against-allahabad-high-court-judge-against-justice-shekhar-k-yadav/article68968733.ece,national,434
"INDIA bloc leadership is open question, indicates Shiv Sena (UBT)","Congress is a national party and has the highest number of MPs among the INDIA allies...All constituents of the alliance are willing to discuss the issue, says Shiv Sena (UBT) leader Sanjay Raut reacting to Lalu Prasad Yadav’s comment on leader of INDIA alliance",Miscellaneous,"INDIA bloc leadership is open question, indicates Shiv Sena (UBT) Congress is a national party and has the highest number of MPs among the INDIA allies...All constituents of the alliance are willing to discuss the issue, says Shiv Sena (UBT) leader Sanjay Raut reacting to Lalu Prasad Yadav’s comment on leader of INDIA alliance Shiv Sena (UBT) leader Sanjay Raut on Tuesday (December 10, 2024) indicated that his party was open to discussing if someone outside the Congress should lead the Opposition's INDIA bloc. Also Read | Mamata Banerjee should be allowed to lead INDIA bloc: RJD chief Lalu Prasad",https://www.thehindu.com/news/national/india-bloc-leadership-is-open-question-indicates-shiv-sena-ubt/article68968379.ece,national,435
"Court takes cognisance of ED’s complaint against son of Haryana MLA, others","The accused entities failed to deliver houses to buyers, missed multiple deadlines, and diverted money collected from home-buyers for their personal gains, the ED said",The Hindu Bureau,"Court takes cognisance of ED’s complaint against son of Haryana MLA, others The accused entities failed to deliver houses to buyers, missed multiple deadlines, and diverted money collected from home-buyers for their personal gains, the ED said A special court has taken cognisance of the prosecution complaint filed by the Enforcement Directorate (ED) against the son of a Haryana MLA and others in connection with a case alleging they were involved in cheating a large number home buyers, the agency said on Tuesday (December 10, 2024). The agency has submitted the prosecution complaint against Sikandar Singh, son of former MLA Dharam Singh Chokker, Mahira Infatech Private Limited, D S Home Construction Private Limited, and others.",https://www.thehindu.com/news/national/court-takes-cognisance-of-eds-complaint-against-son-of-haryana-mla-others/article68968902.ece,national,436
Opposition submits notice for moving no-confidence motion against Vice-President Jagdeep Dhankhar,Congress leaders Jairam Ramesh and Naseer Hussain submitted the notice to Rajya Sabha Secretary-General P.C. Mody,Miscellaneous,"Opposition submits notice for moving no-confidence motion against Vice-President Jagdeep Dhankhar Congress leaders Jairam Ramesh and Naseer Hussain submitted the notice to Rajya Sabha Secretary-General P.C. Mody Opposition parties on Tuesday (December 10, 2024) submitted a notice to move a motion for removing Vice-President Jagdeep Dhankhar for allegedly conducting the House in a partisan manner. Parliament proceedings highlights — December 10, 2024",https://www.thehindu.com/news/national/opposition-submits-notice-for-moving-no-confidence-motion-against-vice-president-dhankhar/article68968572.ece,national,437
Opposition protests Adani issue in Parliament premises with black bags,"Congress leaders Rahul Gandhi, Priyanka Gandhi Vadra, MPs from the Congress, DMK, JMM, Left, among others, protested with bag blacks with caricatures of Prime Minister Narendra Modi and billionaire Gautam Adani printed on it and ‘Modi Adani Bhai Bhai’ written on the obverse side",Miscellaneous,"Opposition protests Adani issue in Parliament premises with black bags Congress leaders Rahul Gandhi, Priyanka Gandhi Vadra, MPs from the Congress, DMK, JMM, Left, among others, protested with bag blacks with caricatures of Prime Minister Narendra Modi and billionaire Gautam Adani printed on it and ‘Modi Adani Bhai Bhai’ written on the obverse side Several opposition MPs on Tuesday (December 10, 2024) demonstrated over the Adani issue in Parliament premises, carrying black 'jholas' (bags) with caricatures of Prime Minister Narendra Modi and billionaire Gautam Adani printed on it and 'Modi Adani Bhai Bhai' written on the obverse side. This is the latest in the series of  protests led by the Congress daily ahead of the sitting of Parliament in the morning.",https://www.thehindu.com/news/national/opposition-protests-adani-issue-in-parliament-premises-with-black-bags/article68968101.ece,national,438
"Justice Yadav’s speech at VHP event: Supreme Court takes note, seeks details from Allahabad HC",Justice Shekhar Kumar Yadav attended an event organised by VHP and spoke on the subject of the Uniform Civil Code (UCC),The Hindu Bureau,"Justice Yadav’s speech at VHP event: Supreme Court takes note, seeks details from Allahabad HC Justice Shekhar Kumar Yadav attended an event organised by VHP and spoke on the subject of the Uniform Civil Code (UCC) The Supreme Court on Tuesday (December 10, 2024) took note of the reports related to a sitting Allahabad High Court Judge Justice Shekhar Kumar Yadav’s speech at a Vishwa Hindu Parishad (VHP) event and sought details from the Allahabad High Court. Also Read | All India Lawyers Union demands action against Allahabad HC judge for speech at VHP event",https://www.thehindu.com/news/national/justice-yadavs-speech-at-vhp-event-supreme-court-takes-note-seeks-details-from-allahabad-hc/article68968539.ece,national,439
Mamata Banerjee should be allowed to lead INDIA bloc: RJD chief Lalu Prasad,Lalu Prasad’s comment comes days after Mamata Banerjee expressed her intent to take charge of the anti-BJP coalition,Miscellaneous,"Mamata Banerjee should be allowed to lead INDIA bloc: RJD chief Lalu Prasad Lalu Prasad’s comment comes days after Mamata Banerjee expressed her intent to take charge of the anti-BJP coalition Rashtriya Janata Dal (RJD) chief Lalu Prasad on Tuesday (December 10, 2024) asserted that West Bengal Chief Minister and Trinamool Congress supremo Mamata Banerjee should be allowed to lead the INDIA bloc. His comment comes days after Ms. Banerjee expressed her intent to take charge of the anti-BJP coalition.",https://www.thehindu.com/news/national/mamata-banerjee-should-be-allowed-to-lead-india-bloc-rjd-chief-lalu-prasad/article68968037.ece,national,440
S.M. Krishna will be remembered for his grace as External Affairs Minister,Officials who served with S.M. Krishna recall his tenure during crucial years for Indian diplomacy,Suhasini Haidar,"S.M. Krishna will be remembered for his grace as External Affairs Minister Officials who served with S.M. Krishna recall his tenure during crucial years for Indian diplomacy S.M. Krishna’s tenure as Minister of External Affairs (2009-2011) is often remembered for gaffes, like the time in 2011 when he accidentally began to read out the Portuguese Foreign Minister’s speech at the United Nations, but diplomats and journalists covering Indian Foreign Policy have lasting memories of Mr. Krishna’s grace and “old style of politics  and diplomacy” in what was a particularly tense second term for the Manmohan Singh-led UPA government, and his ability to deal with crisis without showing the pressure. Political, business leaders condole the death of former Karnataka CM S.M. Krishna | LIVE",https://www.thehindu.com/news/national/sm-krishna-will-be-remembered-for-his-grace-as-external-affairs-minister/article68968007.ece,national,441
SC uses plenary powers to allow a woman Army officer’s plea for permanent commission,"A Bench of Justices B.R. Gavai and K.V. Viswanathan, while illustrating, observed that thoughts on conditions of service and job perquisites would be last in the minds of valiant Indian soldiers bravely guarding the frontiers",The Hindu Bureau,"SC uses plenary powers to allow a woman Army officer’s plea for permanent commission A Bench of Justices B.R. Gavai and K.V. Viswanathan, while illustrating, observed that thoughts on conditions of service and job perquisites would be last in the minds of valiant Indian soldiers bravely guarding the frontiers The Supreme Court on Monday (December 9, 2024) exercised its extraordinary powers under Article 142 of the Constitution to grant permanent commission to a woman Army officer with a distinguished service record who was wrongly excluded from the consideration when other similarly placed officers were given the benefit. A Bench of Justices B.R. Gavai and K.V. Viswanathan, while illustrating, observed that thoughts on conditions of service and job perquisites would be last in the minds of valiant Indian soldiers bravely guarding the frontiers at Siachen or in other difficult terrains.",https://www.thehindu.com/news/national/sc-uses-plenary-powers-to-allow-a-woman-army-officers-plea-for-permanent-commission/article68965815.ece,national,442
Mamata warns Bangladeshi politicians; hopes Foreign Secretary’s visit will provide positive outcome,"The West Bengal CM, who had earlier sought peacekeeping forces from the United Nations to intervene in  Bangladesh, also condemned the attacks on Hindus in the neighbouring country",Shiv Sahay Singh,"Mamata warns Bangladeshi politicians; hopes Foreign Secretary’s visit will provide positive outcome The West Bengal CM, who had earlier sought peacekeeping forces from the United Nations to intervene in  Bangladesh, also condemned the attacks on Hindus in the neighbouring country Taking a dig at a section of Bangladeshi politicians, who have said the neighbouring country has legitimate claims over the Indian States of West Bengal, Bihar and Odisha, Chief Minister of West Bengal Mamata Banerjee on Monday (December 9, 2024) asked if Indians “would have lollipop” when external forces tried to occupy Indian lands. “Some people are saying we will occupy Bengal, Bihar, Odisha. I tell them — be happy and healthy. Not just you, no one has that audacity to occupy all these States. You will take all this and we will sit and eat lollipops? We are ready to have our patience tested, if need be,” Ms. Banerjee said in the State Assembly.",https://www.thehindu.com/news/national/mamata-warns-bangladeshi-politicians-hopes-foreign-secretarys-visit-will-provide-positive-outcome/article68965492.ece,national,443
"Reservation must not be based on religion, Supreme Court tells West Bengal","West Bengal has filed an appeal against a Calcutta HC judgment striking down its policy to include several castes, largely Muslim communities, in the State’s OBC list",Krishnadas Rajagopal,"Reservation must not be based on religion, Supreme Court tells West Bengal West Bengal has filed an appeal against a Calcutta HC judgment striking down its policy to include several castes, largely Muslim communities, in the State’s OBC list The Supreme Court on Monday (December 9, 2024) orally observed that reservation must not be based on religion while hearing an appeal filed by the State of West Bengal against a Calcutta High Court judgment striking down its policy to include several castes, largely Muslim communities, in the State’s Other Backward Classes (OBC) list. The Calcutta High Court had concluded that religion was the “sole criterion for declaring these communities as OBC”. It had found the “selection of 77 classes of Muslims as backwards an affront to the Muslim community as a whole”.",https://www.thehindu.com/news/national/reservation-must-not-be-based-on-religion-says-supreme-court/article68965452.ece,national,444
All India Lawyers Union demands action against Allahabad HC judge for speech at VHP event,AIMIM leader Asaduddin Owaisi terms speech of Justice Yadav as ‘unfortunate’,Ishita Mishra,"All India Lawyers Union demands action against Allahabad HC judge for speech at VHP event AIMIM leader Asaduddin Owaisi terms speech of Justice Yadav as ‘unfortunate’ The All India Lawyers Union on Monday (December 9, 2024) wrote a letter to the President and Chief Justice of India seeking action against Allahabad High Court judge, Justice Shekhar Kumar Yadav, for his speech at a Vishwa Hindu Parishad (VHP) event. The lawyers’ union said the speech “amounted to hate speech against the Muslim minority”. Also Read | Justice Yadav’s speech at VHP event: Supreme Court takes note, seeks details from Allahabad HC",https://www.thehindu.com/news/national/all-india-lawyers-union-demands-action-against-allahabad-hc-judge-for-speech-at-vhp-event/article68965236.ece,national,445
One lakh talented youth will be urged to join politics: PM Modi,"In a virtual address, Mr. Modi said spiritual leader Swami Vivekananda was of the opinion that participation of youth will be crucial for the nation’s development",Miscellaneous,"One lakh talented youth will be urged to join politics: PM Modi In a virtual address, Mr. Modi said spiritual leader Swami Vivekananda was of the opinion that participation of youth will be crucial for the nation’s development Prime Minister Narendra Modi on Monday (December 9, 2024) said efforts are being made to bring youth into politics because it cannot be left to those who only believe in dynastic politics and consider it as family property. Virtually addressing an event organised by Ramakrishna Math at Lekhamba village near Sanand town in Gujarat, the Prime Minister said the Young Leaders’ Dialogue will be organised in Delhi on the birth anniversary of Swami Vivekananda to “make a new beginning” towards this aim.",https://www.thehindu.com/news/national/prime-minister-narendra-modi-addresses-event-organised-by-ramakrishna-math/article68965961.ece,national,446
Stealth frigate INS Tushil commissioned into Indian Navy in Russia,"India, along with its friendly countries, believes in ensuring that maritime trade in the region remains safe and secure: Rajnath",Dinakar Peri,"Stealth frigate INS Tushil commissioned into Indian Navy in Russia India, along with its friendly countries, believes in ensuring that maritime trade in the region remains safe and secure: Rajnath India and Russia will enter a new era of cooperation by taking advantage of each other’s expertise in areas such as Artificial Intelligence, cyber security, space exploration and counter-terrorism, Defence Minister Rajnath Singh said on Monday (December 9, 2024) as stealth guided missile frigate INS Tushil was commissioned into the Indian Navy at Kaliningrad, Russia. Mr. Singh termed Russia’s support to India’s vision of ‘Aatmanirbhar Bharat’ as another important example of deep friendship between the two countries. “Made in India content is continuously increasing in many ships including INS Tushil. The ship is a big proof of the collaborative prowess of Russian and Indian industries. It exemplifies India’s journey towards technological excellence through jointmanship,” he said at the commissioning ceremony.",https://www.thehindu.com/news/national/union-defence-minister-rajnath-singh-in-russia-ins-tushil-inducted-into-indian-navy/article68966111.ece,national,447
"BJP is spreading ‘fake news’, says French media house Mediapart",Mediapart said that it “firmly condemns the instrumentalisation of its recently published investigative article about OCCRP by the Bharatiya Janata Party... in order to serve BJP’s political agenda and attack press freedom”,The Hindu Bureau,"BJP is spreading ‘fake news’, says French media house Mediapart Mediapart said that it “firmly condemns the instrumentalisation of its recently published investigative article about OCCRP by the Bharatiya Janata Party... in order to serve BJP’s political agenda and attack press freedom” Days after the Bharatiya Janata Party (BJP) accused the US State Department of fomenting disaffection against the Government of India, the French news outlet Mediapart, which the BJP had cited while making the allegations, has said that the BJP was spreading ‘fake news’ using its reports. U.S. State Department should clarify allegations over OCCRP, says BJP MP Sudhanshu Trivedi",https://www.thehindu.com/news/national/bjp-spreading-fake-news-says-french-media-house/article68966777.ece,national,448
"Government may introduce Bill on simultaneous polls, refer it to joint committee for consultation","The government wants to consult the Speakers of various State Assemblies through parliamentary committees; In September, it had indicated that it plans to bring three Bills, including two to amend the Constitution",The Hindu Bureau,"Government may introduce Bill on simultaneous polls, refer it to joint committee for consultation The government wants to consult the Speakers of various State Assemblies through parliamentary committees; In September, it had indicated that it plans to bring three Bills, including two to amend the Constitution Keen to hold wider consultations on the proposed Bills to implement simultaneous elections to the Lok Sabha, State Assemblies and local bodies, the Union government may bring these Bills as early as the ongoing Winter Session of Parliament, a government source said on Monday (December 9, 2024). The source said once the Bill, or a set of Bills, is introduced in Parliament, it is likely to be referred to a joint committee of the Lok Sabha and the Rajya Sabha for extensive consultations. The government is keen to consult all the Speakers of various State Assemblies through parliamentary committees.",https://www.thehindu.com/news/national/government-may-introduce-bill-on-simultaneous-polls-refer-it-to-joint-committee-for-consultation/article68966518.ece,national,449
SC moots agency to enhance Delhi green cover,"Bench says, “We permit the amicus to suggest names of the agencies which will be able to take up this task”",The Hindu Bureau,"SC moots agency to enhance Delhi green cover Bench says, “We permit the amicus to suggest names of the agencies which will be able to take up this task” The Supreme Court on Monday (December 9, 2024) suggested the constitution of a specialised agency dedicated to enhancing the national capital’s depleting green cover. A Bench of Justices A.S. Oka and Augustine George Masih asked amicus curiae, senior advocate A.D.N. Rao, to suggest names by December 18, the next date of hearing.",https://www.thehindu.com/news/national/sc-moots-agency-to-enhance-delhi-green-cover/article68965552.ece,national,450
Opposition to move notice to remove Vice-President Dhankhar,"The notice will be submitted under Article 67(b) and sources indicated that more than 50 MPs, including members from Congress, Trinamool Congress, DMK, Samajwadi Party and Left parties, have agreed to sign on the notice",The Hindu Bureau,"Opposition to move notice to remove Vice-President Dhankhar The notice will be submitted under Article 67(b) and sources indicated that more than 50 MPs, including members from Congress, Trinamool Congress, DMK, Samajwadi Party and Left parties, have agreed to sign on the notice Opposition parties in the INDIA bloc have decided to move a notice to remove Chairman of the Rajya Sabha Jagdeep Dhankhar from his office. The notice will be submitted under Article 67(b) of the Constitution and sources indicated that more than 50 MPs, including members from the Congress, Trinamool Congress, DMK, Samajwadi Party and the Left parties, have agreed to sign the notice.",https://www.thehindu.com/news/national/india-bloc-moves-resolution-to-remove-vice-president-jagdeep-dhankhar-from-office/article68965363.ece,national,451
"Youth Congress launches campaign against unemployment, drug abuse","IYC president Uday Bhanu Chib said the BJP had promised two crore jobs every year, but ever since the Modi government came to power, only 0.3% of candidates who applied got government jobs",The Hindu Bureau,"Youth Congress launches campaign against unemployment, drug abuse IYC president Uday Bhanu Chib said the BJP had promised two crore jobs every year, but ever since the Modi government came to power, only 0.3% of candidates who applied got government jobs The Indian Youth Congress (IYC) on Monday (December 9, 2024) launched the new edition of its ‘Young India Ke Bol’ campaign, focusing on unemployment and drug abuse. IYC president Uday Bhanu Chib and All India Congress Committee in-charge of National Students’ Union of India Kanhaiya Kumar addressed a press conference at the party headquarters after the poster launch.",https://www.thehindu.com/news/national/youth-congress-launches-campaign-against-unemployment-drug-abuse/article68966244.ece,national,452
India questions Musk's Starlink for more clues in $4.2-billion drug smuggling case,The incident has set off alarm bells as it is the first time Starlink's device has been used to navigate and reach Indian waters in a major drug haul.,Miscellaneous,"India questions Musk's Starlink for more clues in $4.2-billion drug smuggling case The incident has set off alarm bells as it is the first time Starlink's device has been used to navigate and reach Indian waters in a major drug haul. Police have sent a legal demand to Elon Musk’s Starlink seeking details of who purchased its internet device that helped in sea navigation of smugglers who were caught with $4.2 billion worth of meth in the biggest such Indian seizure. Two people with direct knowledge of the police notice sent by Andaman and Nicobar island officials said Starlink had been asked for the purchaser’s name and payment method, registration details and where the internet device was used when smugglers travelled in international waters from Myanmar to India.",https://www.thehindu.com/news/national/india-questions-musks-starlink-for-more-clues-in-42-billion-drug-smuggling-case/article68965980.ece,national,453
"After Assad’s ouster, India calls for peaceful, inclusive political process in Syria","New Delhi says all parties in the country must ‘work towards preserving the unity, sovereignty and territorial integrity of Syria’; experts say India must pay close attention to events both inside Syria and its borders with Israel, Turkiye, and Iraq",Suhasini Haidar,"After Assad’s ouster, India calls for peaceful, inclusive political process in Syria New Delhi says all parties in the country must ‘work towards preserving the unity, sovereignty and territorial integrity of Syria’; experts say India must pay close attention to events both inside Syria and its borders with Israel, Turkiye, and Iraq India on Monday (December 9, 2024) called for a peaceful and inclusive political process in Syria to find a resolution to the dramatic turn of events after President Bashar al-Assad fled to Russia and rebel forces claimed control of the capital, Damascus. The events took New Delhi by surprise, given that the Ministry of External Affairs had hosted Foreign Office Consultations with Syrian officials less than a fortnight ago.",https://www.thehindu.com/news/national/after-assads-ouster-india-calls-for-peaceful-inclusive-political-process-in-syria/article68966124.ece,national,454
"NRAI warns restaurants about aggregator payment gateways, deep discounting",The advisory comes when food delivery giants including Zomato and Swiggy are aggressively focusing on expanding their dine-in customer base,Miscellaneous,"NRAI warns restaurants about aggregator payment gateways, deep discounting The advisory comes when food delivery giants including Zomato and Swiggy are aggressively focusing on expanding their dine-in customer base The National Restaurant Association of India has issued an advisory cautioning its members over deep discounting and payment gateway tools offered by aggregator platforms for dine-in operations. The advisory comes when food delivery giants including Zomato and Swiggy are aggressively focusing on expanding their dine-in customer base.",https://www.thehindu.com/news/national/nrai-warns-restaurants-about-aggregator-payment-gateways-deep-discounting/article68964976.ece,national,455
Sheena Bora murder case: Supreme Court notice to CBI on Indrani Mukerjea’s plea to travel abroad,"A Bench headed by Justice M.M. Sundresh issued notice to the special leave petition filed by Indrani Mukerjea, represented by advocates Sana Raees Khan and Sandeep Singh",The Hindu Bureau,"Sheena Bora murder case: Supreme Court notice to CBI on Indrani Mukerjea’s plea to travel abroad A Bench headed by Justice M.M. Sundresh issued notice to the special leave petition filed by Indrani Mukerjea, represented by advocates Sana Raees Khan and Sandeep Singh The Supreme Court of India on Monday (December 9, 2024) sought a response from the Central Bureau of Investigation (CBI) to a plea by former media executive Indrani Mukerjea, accused of killing her daughter Sheena Bora, challenging a Bombay High Court decision refusing her permission to travel out of the country. A Bench headed by Justice M.M. Sundresh issued notice to the special leave petition filed by Mukerjea, represented by advocates Sana Raees Khan and Sandeep Singh.",https://www.thehindu.com/news/national/sheena-bora-murder-case-supreme-court-notice-to-cbi-on-indrani-mukerjeas-plea-to-travel-abroad/article68964133.ece,national,456
25 lakh now enrolled for Ayushman Vay Vandana Cards,"Treatment worth over ₹40 crore has been availed, benefitting more than 22,000 senior citizens aged  70 years and above, since the AVVC was launched in October",Bindu Shajan Perappadan,"25 lakh now enrolled for Ayushman Vay Vandana Cards Treatment worth over ₹40 crore has been availed, benefitting more than 22,000 senior citizens aged  70 years and above, since the AVVC was launched in October Enrolment for the Ayushman Vay Vandana Card (AVVC), launched on October 29, has reached 25 lakh. Prime Minister Narendra Modi had announced the expansion of the Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (AB PM-JAY) to include all senior citizens aged 70 years and above. Since the card’s launch, treatments worth more than ₹40 crore have been availed by 22,000 senior citizens above the age of 70 years, a release issued by the Health Ministry said on Monday (December 9, 2024).",https://www.thehindu.com/news/national/25-lakh-now-enrolled-for-ayushman-vay-vandana-cards/article68964964.ece,national,457
"National Food Security Act still driven by figures from 2011 census, Supreme Court told","Calculation of food grains distributed to States by the Centre under the NFSA relied on a census that was carried out over 13 years ago, advocate Prashant Bhushan said",The Hindu Bureau,"National Food Security Act still driven by figures from 2011 census, Supreme Court told Calculation of food grains distributed to States by the Centre under the NFSA relied on a census that was carried out over 13 years ago, advocate Prashant Bhushan said The Supreme Court on Monday (December 9, 2024) orally remarked that a long-term response to problems of food security was to generate employment, even as advocate Prashant Bhushan said the National Food Security Act (NFSA) continued to be driven by figures from the 2011 census. Mr. Bhushan argued that the calculation of food grains distributed to States by the Centre under the NFSA banked on a census carried out over 13 years ago. Meanwhile, the pandemic had happened. The government’s top law officers responded that the Centre was committed to food security. They urged the court to not give ear to “armchair intellectuals”.",https://www.thehindu.com/news/national/sc-told-the-national-food-security-act-is-still-driven-by-figures-from-the-2011-census/article68964992.ece,national,458
Supreme Court should put a stop to lawsuits seeking survey of mosques: CPI(M),"After a two-day meeting of the CPI(M) Politburo on December 7-8, the Left party said it is unfortunate that the Supreme Court has not intervened to put a stop to such litigations",Miscellaneous,"Supreme Court should put a stop to lawsuits seeking survey of mosques: CPI(M) After a two-day meeting of the CPI(M) Politburo on December 7-8, the Left party said it is unfortunate that the Supreme Court has not intervened to put a stop to such litigations The CPI(M) Politburo on Monday (December 9, 2024) voiced concern over the spate of lawsuits filed across the country seeking survey of ancient mosques to verify the presence of temple ruins lying underneath. ""After Varanasi and Mathura, in Sambhal, a survey was ordered of a 16th century mosque by a lower court. This resulted in violence in which four Muslim youth were killed. Following this, a similar petition has been entertained in the civil court in Ajmer regarding the Ajmer Sharif Dargah,"" the party said.",https://www.thehindu.com/news/national/supreme-court-should-put-a-stop-to-lawsuits-seeking-survey-of-mosques-cpim/article68964765.ece,national,459
Supreme Court dismisses plea to clear road blockade caused by farmers' protest,The plea has alleged that farmers' and their unions have blocked the entire national and State highways in Punjab for an indefinite period,The Hindu Bureau,"Supreme Court dismisses plea to clear road blockade caused by farmers' protest The plea has alleged that farmers' and their unions have blocked the entire national and State highways in Punjab for an indefinite period The Supreme Court on Monday (December 9, 2024) refused to entertain a plea directing the Centre and authorities to immediately clear blockades on national and State highways in Punjab where farmers are staging protests. A Bench headed by Justice Surya Kant said similar petitions are already pending in the apex court, and it did not want another one to add to the number.",https://www.thehindu.com/news/national/supreme-court-dismisses-plea-to-clear-road-blockade-caused-by-farmers-protest/article68964356.ece,national,460
"U.S. State Department should clarify allegations over OCCRP, says BJP MP Sudhanshu Trivedi","“The U.S. State Department should clarify whether or not they are involved in such activities and if they are not, then they should withdraw their support from such OCCRP organisations,” Rajya Sabha MP Sudhanshu Trivedi said",The Hindu Bureau,"U.S. State Department should clarify allegations over OCCRP, says BJP MP Sudhanshu Trivedi “The U.S. State Department should clarify whether or not they are involved in such activities and if they are not, then they should withdraw their support from such OCCRP organisations,” Rajya Sabha MP Sudhanshu Trivedi said The Bharatiya Janata Party (BJP) on Monday (December 9, 2024) said the allegations made by the party on the U.S. State Department with regard to the Organised Crime and Corruption Reporting Project (OCCRP) was based on the media report by French publication Mediapart and that it was up to the U.S. State Department to clarify. “In this context, during our presser on this issue, we had quoted a media report by a French publication, published in Sarajevo in which it was made clear that the OCCRP project was funded partially by the U.S. State Department and by George Soros. It is therefore incumbent on them [U.S. State Department] to clarify whether what has been said in the report is correct or not,” said Rajya Sabha MP Sudhanshu Trivedi.",https://www.thehindu.com/news/national/allegations-on-occrp-bjp-only-quoting-media-report-up-to-us-state-department-to-clarify-says-bjp/article68964599.ece,national,461
"Implementation of POSH Act to political parties: ‘Approach Election Commission first,’ Supreme Court tells petitioner",Justice Kant referred to a Kerala High Court decision which had found that political parties were under no obligation to comply with the POSH Act as employer-employee relationship did not exist in them,The Hindu Bureau,"Implementation of POSH Act to political parties: ‘Approach Election Commission first,’ Supreme Court tells petitioner Justice Kant referred to a Kerala High Court decision which had found that political parties were under no obligation to comply with the POSH Act as employer-employee relationship did not exist in them The Supreme Court of India on Monday (December 9, 2024) asked a petitioner seeking the application of the law against sexual harassment of women at workplace in political parties to first approach the Election Commission of India. A Bench of Justices Surya Kant and Manmohan was hearing a petition filed by a Supreme Court lawyer, Yogamaya MG, represented by senior advocate Shobha Gupta and advocate Sriram Parakkat, for a judicial declaration that political parties were bound to comply with the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act of 2013 or the POSH Act, including the constitution of an Internal Complaints Committee.",https://www.thehindu.com/news/national/implementation-of-posh-act-for-political-parties-approach-election-commission-first-supreme-court-tells-petitioner/article68964449.ece,national,462
Lok Sabha adjourned in a blink; scene no different in Rajya Sabha,‘Consensus’ reached a week ago to let Parliament function remains a non-starter; both Houses witness tumult over BJP allegation linking the Congress and the U.S. billionaire George Soros,The Hindu Bureau,"Lok Sabha adjourned in a blink; scene no different in Rajya Sabha ‘Consensus’ reached a week ago to let Parliament function remains a non-starter; both Houses witness tumult over BJP allegation linking the Congress and the U.S. billionaire George Soros Both Houses of Parliament failed to function on Monday (December 9, 2024) over the alleged links between U.S.-based businessman George Soros and the Congress party, and issues related to the Adani Group. Exactly a week ago, on December 2, the ruling and Opposition sides had reached an agreement to let Parliament function, reaching a consensus on holding a discussion on the Constitution in both the Houses.",https://www.thehindu.com/news/national/parliament-proceedings-lok-sabha-rajya-adjourned-for-the-day-as-opposition-protests-disrupted-proceedings/article68964867.ece,national,463
NMC issues guidelines to spot 'fake' patients during inspections of medical facilities,"According to the guidelines, admission of large numbers of patients on the day of inspection or the previous day, admission of multiple patients from the same family or the admitted patients having no or minor problems which can be treated on OPD basis with oral medications, could be a parameter for identifying ""fake patients""",Miscellaneous,"NMC issues guidelines to spot 'fake' patients during inspections of medical facilities According to the guidelines, admission of large numbers of patients on the day of inspection or the previous day, admission of multiple patients from the same family or the admitted patients having no or minor problems which can be treated on OPD basis with oral medications, could be a parameter for identifying ""fake patients"" The National Medical Commission (NMC) has issued guidelines for identifying ""fake patients"" in medical colleges and facilities seeking approval for setting up new institutes or for increasing the number of UG and PG seats. This is the first time that the Commission has developed such guidelines. The guidelines come after instances of some medical institutions or colleges admitting fake patients (people who do not require any treatment or in-patient treatment) to fulfil the requirements of bed occupancy and investigation.",https://www.thehindu.com/news/national/nmc-issues-guidelines-to-spot-fake-patients-during-inspections-of-medical-facilities/article68964876.ece,national,464
